"id","taxonID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","namePublishedIn","namePublishedInYear","higherClassification","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","nomenclaturalStatus","modified","bibliographicCitation","references"
"1303","1303","1301","1300","1236","Picrasma vellozii Planch.","Picrasma crenata (Vell.) Engl.","Picrasma Blume","","","Flora;Angiospermas;Simaroubaceae DC.;Picrasma Blume;Picrasma vellozii Planch.","","","","Simaroubaceae","Picrasma","vellozii","","ESPECIE","Planch.","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2014-09-29 14:08:44.596","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1303"
"1304","1304","","222","","Picrolemma Hook.f.","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Picrolemma Hook.f.","","","","Simaroubaceae","Picrolemma","","","GENERO","Hook.f.","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:09:05.392","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1304"
"1305","1305","","1304","","Picrolemma huberi Ducke","","Picrolemma Hook.f.","","","Flora;Angiospermas;Simaroubaceae DC.;Picrolemma Hook.f.;Picrolemma huberi Ducke","","","","Simaroubaceae","Picrolemma","huberi","","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:09:15.159","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1305"
"1306","1306","1307","1304","","Picrolemma pseudocoffea Ducke","Picrolemma sprucei Hook.f.","Picrolemma Hook.f.","","","Flora;Angiospermas;Simaroubaceae DC.;Picrolemma Hook.f.;Picrolemma pseudocoffea Ducke","","","","Simaroubaceae","Picrolemma","pseudocoffea","","ESPECIE","Ducke","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2014-09-29 14:09:48.695","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1306"
"1307","1307","","1304","","Picrolemma sprucei Hook.f.","","Picrolemma Hook.f.","","","Flora;Angiospermas;Simaroubaceae DC.;Picrolemma Hook.f.;Picrolemma sprucei Hook.f.","","","","Simaroubaceae","Picrolemma","sprucei","","ESPECIE","Hook.f.","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:10:23.288","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1307"
"1314","1314","","222","","Quassia L.","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.","","","","Simaroubaceae","Quassia","","","GENERO","L.","NOME_ACEITO","NOME_CORRETO","2009-12-14 13:25:56.52445","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1314"
"1315","1315","","1314","","Quassia amara L.","","Quassia L.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.;Quassia amara L.","","","","Simaroubaceae","Quassia","amara","","ESPECIE","L.","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:10:46.713","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1315"
"1319","1319","1334","1314","","Quassia cedron (Planch.) Baill.","Simaba cedron Planch.","Quassia L.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.;Quassia cedron (Planch.) Baill.","","","","Simaroubaceae","Quassia","cedron","","ESPECIE","(Planch.) Baill.","SINONIMO","","2014-09-29 14:19:16.895","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1319"
"1320","1320","1349","1314","1337","Quassia cuspidata (Spruce ex Engl.) Noot.","Simaba guianensis Aubl.","Quassia L.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.;Quassia cuspidata (Spruce ex Engl.) Noot.","","","","Simaroubaceae","Quassia","cuspidata","","ESPECIE","(Spruce ex Engl.) Noot.","SINONIMO","","2009-12-16 16:52:47.959297","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1320"
"1321","1321","1346","1314","","Quassia glabra (Engl.) Noot.","Simaba glabra Engl.","Quassia L.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.;Quassia glabra (Engl.) Noot.","","","","Simaroubaceae","Quassia","glabra","","ESPECIE","(Engl.) Noot.","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2015-02-06 11:03:07.668","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1321"
"1323","1323","1349","1314","","Quassia guianensis (Aubl.) D.Dietr.","Simaba guianensis Aubl.","Quassia L.","","","Flora;Angiospermas;Simaroubaceae DC.;Quassia L.;Quassia guianensis (Aubl.) D.Dietr.","","","","Simaroubaceae","Quassia","guianensis","","ESPECIE","(Aubl.) D.Dietr.","SINONIMO","","2009-12-16 16:53:49.038323","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1323"
